KKK1a 20210323  100000   0.5211846E-01  0.1794579
KKK2a 20210323  100000   0.5211846E-01  0.1794579
KKK3a 20210323  100000   0.5211846E-01  0.1794579
KKK5a 20210323  100000   0.5211846E-01  0.1794579
KKK1a 20210323  100000   0.4491580E-01  0.1922848
KKK2a 20210323  100000   0.4491580E-01  0.1922848
KKK3a 20210323  100000   0.4491580E-01  0.1922848
KKK5a 20210323  100000   0.4491580E-01  0.1922848
KKK1a 20210323  110000   0.5412362E-01  0.1929566
KKK2a 20210323  110000   0.5412362E-01  0.1929566
KKK3a 20210323  110000   0.5412362E-01  0.1929566
KKK4a 20210323  110000   0.5412362E-01  0.1929566
KKK1a 20210323  110000   0.4608933E-01  0.2036795
KKK2a 20210323  110000   0.4608933E-01  0.2036795
KKK3a 20210323  110000   0.4608933E-01  0.2036795
KKK4a 20210323  110000   0.4608933E-01  0.2036795
KKK1a 20210323  120000   0.5513613E-01  0.2042445
KKK2a 20210323  120000   0.5513613E-01  0.2042445
KKK3a 20210323  120000   0.5513613E-01  0.2042445
KKK5a 20210323  120000   0.5513613E-01  0.2042445
KKK1a 20210323  120000   0.4643912E-01  0.2122203
KKK2a 20210323  120000   0.4643912E-01  0.2122203
KKK3a 20210323  120000   0.4643912E-01  0.2122203
KKK5a 20210323  120000   0.4643912E-01  0.2122203
